--- Audio Evaluation Results ---

--- Pairwise SI-SNR (dB) ---

--- Pairwise Metrics ---
Target Filename               |Output Filename               |SI-SNR (dB)    |CE        |CU        |PC        |PQ        
target_72.wav                 |mixture_72.wav                |-10.7013       |7.5820    |7.3299    |6.4570    |6.8024    
target_861.wav                |mixture_861.wav               |8.0600         |7.9942    |8.1223    |6.1127    |8.2181    
target_190.wav                |mixture_190.wav               |-3.8767        |6.7394    |4.7939    |5.8720    |5.3384    
target_901.wav                |mixture_901.wav               |-19.3873       |4.4094    |5.0443    |5.7391    |4.3157    
target_444.wav                |mixture_444.wav               |-2.8489        |3.0371    |2.9357    |5.9813    |3.7134    
target_478.wav                |mixture_478.wav               |3.9884         |5.1555    |4.3695    |6.2380    |4.7674    
target_423.wav                |mixture_423.wav               |0.3544         |3.3020    |2.8980    |5.8234    |3.4973    
target_139.wav                |mixture_139.wav               |2.8355         |5.8833    |5.7888    |5.2575    |5.9299    
target_889.wav                |mixture_889.wav               |7.2252         |2.5282    |3.6372    |6.2133    |4.1739    
target_233.wav                |mixture_233.wav               |-6.1782        |3.7595    |3.4677    |5.3897    |3.9366    
target_492.wav                |mixture_492.wav               |7.7647         |6.5604    |6.7934    |6.0253    |6.1672    
target_864.wav                |mixture_864.wav               |3.8294         |5.6707    |6.4436    |5.8711    |5.3927    
target_228.wav                |mixture_228.wav               |-12.4367       |2.7375    |3.0451    |6.2401    |3.8447    
target_169.wav                |mixture_169.wav               |-0.7230        |6.6191    |7.0611    |6.1816    |6.4935    
target_363.wav                |mixture_363.wav               |7.1762         |4.6414    |3.5053    |5.4092    |4.8307    
target_462.wav                |mixture_462.wav               |-5.8011        |6.0487    |7.1799    |5.3761    |6.6124    
target_175.wav                |mixture_175.wav               |-57.1669       |5.4474    |7.3267    |5.8673    |4.8930    
target_569.wav                |mixture_569.wav               |1.3313         |7.1872    |6.0185    |5.9519    |5.2320    
